text,true_label,predicted_label,prob_fake,source_dataset,length_bin
"small businesses that have $250,000 in gross sales for the business. theyre the ones that are looking at massive tax increases.",1,0,0.4363761246204376,liar,100-200
"says that in 2007, oregon ranked 25th -- or 7th from the bottom -- in percentage of children with untreated decay compared to 32 other states with similar data.",1,0,0.0960516929626464,liar,100-200
"at a minimum, 40 percent of those who view child pornography end up molesting children as a result.",1,0,0.3834877908229828,liar,50-100
"when president, then candidate, obama was asked to disclose some of his donors because there was suspicion of their being the foreign source of money into his campaign, they refused to do it.",1,0,0.4738316535949707,liar,100-200
"because gov. chris christie vetoed a 30-bill job creation package, new jersey ranks 50th in the nation in job creation.",1,0,0.1127717420458793,liar,100-200
the new hartsfield-jackson international terminal was on time and on budget.,1,0,0.4661877751350403,liar,50-100
every republican senate candidate has now announced whether or not they support the senate taking up the supreme court vacancyexcept for congressman heck.,1,0,0.4001732170581817,liar,100-200
"toledo is fourth in the nation behind much bigger cities miami, las vegas, portland in number of human trafficking arrests and rescues.",1,0,0.2070036232471466,liar,100-200
says the claims that texas faces a $27 billion shortfall are flat-out false.,1,0,0.4963760077953338,liar,50-100
"says the clinton foundation accepted millions and millions of dollars from governments like algeria, saudi arabia, oman and the united arab emirates, which violated a ban on all contributions to the foundation from foreign nations.",1,0,0.472627580165863,liar,200-500
says ohio treasurer josh mandel supports allowing the united states to default on its obligations.,1,0,0.4973740875720978,liar,50-100
says politifact listed governor scott walker of wisconsin as the governor who told the most lies and our own untruthful governor chris christie made it into politifacts top five of lie - en governors.,1,0,0.297315388917923,liar,200-500
clackamas county commissioners approved a re-negotiated agreement to lower the countys contribution to trimets portland-milwaukie light rail project to $19.9 million from $25 million.,1,0,0.4485284090042114,liar,100-200
the 2010 dream act failed despite strong bipartisan support.,1,0,0.4682798981666565,liar,50-100
"everyone on californias roads is properly licensed, tested and insured.",1,0,0.4299516975879669,liar,50-100
roy blunt voted to raise his own pay 12 times while in congress.,1,0,0.4417060613632202,liar,50-100
"bob menendez just voted to increase the governments debt ceiling to $1.9 trillion! in his 19 years in congress, menendez has helped overspend america over $15 trillion into debt.",1,0,0.3275257349014282,liar,100-200
says his tax plan wouldnt leave the federal government with a $1.1 trillion hole.,1,0,0.3888076841831207,liar,50-100
says oregon is one of only three states that allow the use of gillnets on inland waters.,1,0,0.3018935620784759,liar,50-100
virginia has made no progress on jobs since bob mcdonnell took office.,1,0,0.3597495555877685,liar,50-100
the florida department of agricultures website freshfromflorida.com can be used to get a permit to carry a loaded hidden gun without ever leaving your house.,1,0,0.4689227342605591,liar,100-200
"in 2001 and 02 . . . we had the pension system funded at (the)100% level in that year, and we did for two years at that point.",1,0,0.2643292844295501,liar,100-200
"under president george w. bush, ""the national debt went from $5 trillion to $12 trillion.""",1,0,0.3372888267040252,liar,50-100
"a cashier earning $20,000 per year pays the same (virginia) income tax rate as a hedge fund manager earning $20 million per year.",1,0,0.3058430850505829,liar,100-200
former president george w. bush and former vice president dick cheney are unable to visit europe due to outstanding warrants.,1,0,0.3868343830108642,liar,100-200
"in the house health care bill, ""something like 2 percent of the people would [be] eligible even to get the public option.""",1,0,0.4003563225269317,liar,100-200
says jeb bush extended early voting after seeing long lines.,1,0,0.3782899975776672,liar,50-100
"boom! charlotte officials finally silence rioters with one e p i c announcement! [video] the rioting in charlotte has practically crippled the city. businesses were looted, windows were smashed. so-called protesters have committed any number of crimes, from arson and assault, to murder. north carolina governor pat mccrory was forced to declare a state of emergency and called in the national guard to get the situation under control. and now, government officials have had enough too. they just made a huge announcement that will have people thinking twice before they start protesting again. officials just released a proclamation that says any people caught rioting, looting, destroying property or otherwise being violent in any unlawful manner will have their government benefits permanently revoked. but it doesn’t end there — any minor children who participate in the violence will face the same repercussions… and so will their parents. the parents of minors caught rioting will not only be held accountable for their child’s actions, but they could face losing their state benefits as well. they could also face referrals to social services and could potentially lose custody of their children. “parents are responsible for their children. if they are allowing them to engage in lawless behaviors there will be consequences for them as parents,” city official wilson stewart said during a press conference. “many of the individuals we have detained are high school students. we urge parents out there to know where their children are at all times until tensions are quelled. have them adhere to the mandatory curfew. make them aware that participation in looting, destruction of property and violently demonstrating on any level will come with severe penalties.” × 101 things all young adults should know by sir john hawkins john hawkins's book 101 things all young adults should know is filled with lessons that newly minted adults need in order to get the most out of life. gleaned from a lifetime of trial, error, and writing it down, hawkins provides advice everyone can benefit from in short, digestible chapters. buy now will this keep protesters from turning violent? will it prevent thugs from exploiting a tragic death so they can have an excuse to riot and loot and attack people? only time will tell, but at least now they will know that there are serious consequences to their actions. parents may also be more inclined to keep an eye on their kids and you know… act like parents. let’s be real, if your kid is caught rioting and looting, then there’s a good chance you’re not doing a good job at parenting. officials have also put a curfew into place as they work to restore peace and order in charlotte.",1,0,0.3887452185153961,fakenewsnet,500-5000
says new jersey has fewer jobs since gov. chris christie took office.,1,0,0.162276804447174,liar,50-100
"for my energy plan, my economic plan, and the other proposals you'll hear tonight, i've offered spending cuts above and beyond their cost.",1,0,0.2907568514347076,liar,100-200
the fed created $15 trillion in the bailout process and $5 trillion went overseas.,1,0,0.3498349487781524,liar,50-100
oregon is the only state out of the 50 states in the usa that continues to pay 100% of the medical benefits for its employees and their families.,1,0,0.2195325493812561,liar,100-200
the five guantanamo detainees swapped for bowe bergdahl are right now back on the battlefield.,1,0,0.4237730801105499,liar,50-100
democrats failed to flip the wisconsin state senate because recall elections were in the deepest red districts in the state.,1,0,0.467644602060318,liar,100-200
"royalties foroil and other energy sources are the ""second-largest revenue source to the federal government after the irs.""",1,0,0.4160070419311523,liar,100-200
says his twitter account has 1.3 million followers.,1,0,0.3502109050750732,liar,50-100
says george lemieux even compared marco rubio to barack obama.,1,0,0.3993198573589325,liar,50-100
"says that in 41 states, government workers are better paid than the taxpayers who support them.",1,0,0.2054796814918518,liar,50-100
every major newspaper in texas calls david dewhurst a moderate.,1,0,0.3871681988239288,liar,50-100
"says markkirk called for the mass arrest of 18,000 african americans andwas apparently fine with trumps #stilltooracist call for mass deportation.",1,0,0.3926629424095154,liar,100-200
"there are more atheists in the country right now than jews, muslims, hindus and buddhists combined and doubled.",1,0,0.1844819337129593,liar,100-200
says romney supported a law that could have made most common forms of birth control illegal.,1,0,0.4085960388183594,liar,50-100
"you cant get on an airplane, but more than 2,000 people on that list have been able to buy a gun.",1,0,0.2589099109172821,liar,50-100
we spend half a trillion dollars a year in tax preparation.,1,0,0.4788208901882171,liar,50-100
"today in america, between 40 and 50 percent of all african-american babies, virtually 1-in-2, are killed before they are born.",1,0,0.1264731884002685,liar,100-200
gov. charlie crist sought for and got approved the automatic restoration of felon rights for nonviolent offenders for the first time in florida history.,1,0,0.423379898071289,liar,100-200
"after the texas cutoff of aid to womens health care services including planned parenthood clinics, over 150,000 women lost the only health care they had. our medicaid birth rate shot up. it cost taxpayers over $130 million in one year alone in extra medicaid birth costs.",1,0,0.3949972689151764,liar,200-500
some city of atlanta employees have not had raises in eight years.,1,0,0.2728407979011535,liar,50-100
there were 36 states where republicans who were in charge refused to implement a state (health insurance) exchange.,1,0,0.3193479776382446,liar,100-200
people who wash cars at home will use approximately 80 percent more water than they do in a car wash.,1,0,0.3922356367111206,liar,100-200
