text,true_label,predicted_label,prob_fake,source_dataset,length_bin
"says president barack obama gives students the right to repay (federal) loans as a clear, fixed, low percentage of their income for up to 20 years.",0,1,0.555234968662262,liar,100-200
jim renacci cheated on his income taxes and is a deadbeat citizen.,0,1,0.6672549247741699,liar,50-100
"on the day that (the republican) state leader resigned in disgrace, a shred-it' truck rolled up to republican headquarters.",0,1,0.627371609210968,liar,100-200
guantanamo detainees get taxpayer-paid-for prayer rugsthey had honey-glazed chicken and rice pilaf.,0,1,0.5455644726753235,liar,50-100
on federal stimulus money for expanding rail service.,0,1,0.7315087914466858,liar,50-100
a gay man who survived #orlando hate crime can still show up to work in fl tomorrow and have his boss fire him simply because he is gay.,0,1,0.6349223256111145,liar,100-200
"top u.s. intelligence officials have toldevery member of congress, including the president, were about to be attacked in a serious way because (of) the threat emanating from syria and iraq.",0,1,0.5014485120773315,liar,100-200
"taxpayers pay $18,000 a month for house speaker nancy pelosis district office in downtown san francisco.",0,1,0.6072865128517151,liar,100-200
"says milwaukee county spent over $170,000 in salaries in 2010 for employees to participate in union activities such as collective bargaining.",0,1,0.5399501919746399,liar,100-200
no family earns too much to qualify for oregon healthy kids program.,0,1,0.605978786945343,liar,50-100
"obama ""won health care for 150,000 people.""",0,1,0.5244387984275818,liar,0-50
"if you already have health insurance through your job, or medicare, or medicaid, or the va, nothing in this plan will require you or your employer to change the coverage or the doctor you have.",0,1,0.7068533897399902,liar,100-200
says the states new collective bargaining law effectively eliminates police unions ability to negotiate.,0,1,0.5980611443519592,liar,100-200
"the federal consumer financial protection bureau is collecting financial information, monitoring financial information of millions of americans without their knowledge and storing it for up to 10 years.",0,1,0.6331548094749451,liar,200-500
"the stimulus includes ""$219,000 to study the sex lives of female college freshmen.""",0,1,0.6097061634063721,liar,50-100
"over 12,000 school kids were arrested in florida. it makes florida the nations leader in that area.",0,1,0.5147804021835327,liar,50-100
"the president won the youth vote 3 to1, but his numbers have dropped 20, 30 percent among the youth.",0,1,0.5351899266242981,liar,100-200
"barack obama ""extended health care for wounded troops who'd been neglected.""",0,1,0.5189608335494995,liar,50-100
tsa will accept drivers priv cards for id at the airport,0,1,0.63129723072052,liar,50-100
hobby lobby provided this (birth control) coverage before they decided to drop it to file suit.,0,1,0.6390495300292969,liar,50-100
the deal to raise the federal debt limit created the largest debt ceiling increase in americas history.,0,1,0.5142979025840759,liar,100-200
iowas republican caucus stopped mattering years ago. it in no way determines the party nominee.,0,1,0.5104947090148926,liar,50-100
"if youre a mexican, you get sent back. ... but if youre from a noncontiguous country like the central american countries then you can stay in the united states.",0,1,0.5169770121574402,liar,100-200
"says the texas forest service planted 6,000 trees in the dallas/fort worth area before the super bowl for unknown reasons at an unknown cost.",0,1,0.5338419079780579,liar,100-200
"quite frankly, it was during the bush years of spending, multiplied now by the obama years that we have this mess.",0,1,0.5002439618110657,liar,100-200
on legalizing illegal immigrants.,0,1,0.7026861310005188,liar,0-50
cobb county businesses have already been awarded contracts worth $250 million on construction of a new braves stadium.,0,1,0.5046419501304626,liar,100-200
"the senate version of the economic stimulus package includes ""millions of dollars to world war ii filipino veterans in the philippines.""",0,1,0.5392817258834839,liar,100-200
americas least-trusted news sources are also its most popular.,0,1,0.5420522093772888,liar,50-100
"the governor is trying to take credit for recent actions taken by these companies. the problem is that for all three companies, the decision to move or stay in new jersey happened before chris christie became governor.",0,1,0.5017414093017578,liar,200-500
"41,200 veterans in florida dont have health care because scott didnt expand medicaid.",0,1,0.5135684609413147,liar,50-100
"there is no incontrovertible proof that speed, in and of itself, is the contributing factor to increasing (vehicular) fatalities.",0,1,0.503856360912323,liar,100-200
says that the new financial services law requires 358 regulatory filings.,0,1,0.5051597952842712,liar,50-100
"seniors with coverage under medicare advantage will give up ""more than their share"" because of health care reform",0,1,0.5674978494644165,liar,100-200
we ... sold the state airplanes as i had promised.,0,1,0.5736056566238403,liar,50-100
i saved the taxpayers $2-billion on a bogus air force boeing tanker deal where people went to jail.,0,1,0.6002850532531738,liar,50-100
"the new arizona immigration law ""says that any police officer can stop anyone who appears to them to be reasonably suspicious of being an undocumented person.""",0,1,0.5422952175140381,liar,100-200
says hillary clinton once wanted a wall on the mexican border.,0,1,0.5900611877441406,liar,50-100
"not a single banker, a ceo from wall street, anyone from corporate america nobody, (there was) not one arrest of any of these people who brought down the economy in 2008.",0,1,0.5870495438575745,liar,100-200
"two years ago providence alone spent $50,000 a year notifying the school department about residents in the states sex offender registry.",0,1,0.6038033366203308,liar,100-200
"deer baiting, planned for block island by dem, is illegal in rhode island.",0,1,0.606269896030426,liar,50-100
we need to pass a carbon tax to stop climate change. break up the wall street banks. and stop the government spying on innocent americans. cory booker doesnt support any of these ideas.,0,1,0.7591869235038757,liar,100-200
"rhode island could tell you who has a camper, but we couldnt figure out who has a gun.",0,1,0.6420029997825623,liar,50-100
the orlando shooter used a weapon of war.,0,1,0.5801243782043457,liar,0-50
"kohls department stores in 2012 announced the creation of 3,000 new jobs.",0,1,0.5649210214614868,liar,50-100
tax dodging costs developing countries $200 billion every year.,0,1,0.5199098587036133,liar,50-100
"the day president obama took office, gasoline was $1.79 a gallon.",0,1,0.5477764010429382,liar,50-100
says scott walkers listening sessions are invite-only and excluding the press.,0,1,0.6066540479660034,liar,50-100
says crime is rising in manchester and has gone up 19 percent under mayor ted gatsas.,0,1,0.8362767100334167,liar,50-100
laurie monnes anderson voted to let violent criminals out of jail early.,0,1,0.7454522252082825,liar,50-100
"says president barack obama came into office very concerned about wiretappings but then he became president of the united states, he got all the briefings (and) he decided the balance is probably pretty appropriately struck.",0,1,0.6060603260993958,liar,200-500
on the importance of judicial experience for supreme court nominees.,0,1,0.6473380923271179,liar,50-100
the university of wisconsin system budget is the biggest it has ever been.,0,1,0.6219150424003601,liar,50-100
dave aronberg was the first to demand that bp create a billion-dollar fund to pay for the devastation.,0,1,0.6547414660453796,liar,100-200
says donald trump brings in hundreds of foreign workers to replace americans.,0,1,0.5056095719337463,liar,50-100
they tried to give us $400 million to build a high-speed train that goes 39 miles an hour.,0,1,0.5746679306030273,liar,50-100
on instances when abortions should be allowed.,0,1,0.6202163100242615,liar,0-50
says delta air lines has once again broken a promise they made to me and to the people of memphis.,0,1,0.7076776027679443,liar,50-100
"under the new health care law, if a landscaper wants to buy a new lawnmower, or a restaurant needs a new ice-maker, they have to report that to the feds.",0,1,0.6233522295951843,liar,100-200
one out of every three automobile fatalities can be attributed to alcohol.,0,1,0.564283549785614,liar,50-100
"if you are going to kill the families of terrorists, realize that theres something called the geneva convention were going to have to pull out of.",0,1,0.7876177430152893,liar,100-200
obama's liberal fiscal agenda: over $874-billion in new spending.,0,1,0.649531364440918,liar,50-100
says a state bill checks the spending habits of the milwaukee county board of supervisors by bringing it in line with other county boards around the state.,0,1,0.6081042885780334,liar,100-200
on the iran nuclear deal,0,1,0.5924955010414124,liar,0-50
"says goldman sachs ceo said congress would have to cut social security, medicare and medicaid and give huge tax breaks to the wealthy and the large corporations.",0,1,0.5829206109046936,liar,100-200
the states that are doing better are the ones that have no state income tax.,0,1,0.5839007496833801,liar,50-100
richard nixon released tax returns when he was under audit.,0,1,0.5089630484580994,liar,50-100
says oil productions down where obamas in charge.,0,1,0.7758672833442688,liar,0-50
there really isnt any kind of foreign policy network that is supporting and advising sen. sanders.,0,1,0.7327883839607239,liar,50-100
"(newt gingrich) voted in favor of establishing the department of education, and yet he gets in a debate and says we should get rid of the department of education and send all the education issues back to the states.",0,1,0.5476117134094238,liar,200-500
it cost us more to shut the government down than to keep it open.,0,1,0.5905890464782715,liar,50-100
john faso took money from fossil fuel companies as they tried to take your land by eminent domain for a fracked gas pipeline.,0,1,0.5483242273330688,liar,100-200
there are justice department policies against fbi director james comey discussing details of a federal investigation so close to an election.,0,1,0.8169939517974854,liar,100-200
a democratic poll operation shows that fox news is the most trusted news operation in the country.,0,1,0.744533896446228,liar,50-100
says studies show the average age of entry into prostitution is 12 to 14 years old.,0,1,0.7018335461616516,liar,50-100
says every school will be negatively impacted if education stability fund is not tapped.,0,1,0.8098117709159851,liar,50-100
says austin mayor lee leffingwell voted for a toll lane on mopac.,0,1,0.6014536619186401,liar,50-100
says his sons were targeted on facebook by out-of-state protesters.,0,1,0.5730330348014832,liar,50-100
speakers at the democratic national convention made zero mentions of the global terrorist threat posed by isis.,0,1,0.6699825525283813,liar,100-200
on whether the state should privatize the ohio turnpike.,0,1,0.6393136978149414,liar,50-100
on timing of right to work legislation,0,1,0.6500343084335327,liar,0-50
"in oregon, students are skipping math class to learn about the bible.",0,1,0.570682942867279,liar,50-100
"under a new law regulating abortions, even if youre raped, if you dont report it in the first 30 days, the republicans will force you to have an ultrasound.",0,1,0.7031486630439758,liar,100-200
"this year, the overwhelming majority of new jobs are part time.",0,1,0.540485143661499,liar,50-100
president obama is shrinking our military.,0,1,0.8152141571044922,liar,0-50
"a texas police department bought an ad telling drug dealers, we can take your competition off the streets for free.",0,1,0.5927385091781616,liar,100-200
our businesses have created jobs every single month since (obamacare) became law.,0,1,0.5397343039512634,liar,50-100
"says if you try to hide marijuana in a hemp field, it becomes worthless. the thc goes away.",0,1,0.673195481300354,liar,50-100
says about nsa data collection: every member in both parties who served on the intelligence committee voted in favor of this.,0,1,0.5366758108139038,liar,100-200
says mark warner has supported harry reid down the line.,0,1,0.5418116450309753,liar,50-100
the iran nuclear deal is putting billions of dollars back into a country thats the worlds largest supporter of terrorism. we are actually giving them the money to fund the terrorists that are killing us and our allies.,0,1,0.6438195109367371,liar,200-500
"under obamacare, premiums have doubled and tripled in wisconsin.",0,1,0.5099447965621948,liar,50-100
three thousand felons voted in rhode island in 2008.,0,1,0.540397047996521,liar,50-100
mr. hurt would re-open that darn (medicare) doughnut hole.,0,1,0.6109257936477661,liar,50-100
the federal health care law raises taxes and cuts medicare.,0,1,0.6636196970939636,liar,50-100
"the health care bill will subsidize families of four that make more than $80,000 a year.",0,1,0.5292539000511169,liar,50-100
"the health care bill ""dumps 15 to 18 million low-income americans into a medicaid program that none of us want to be a part of because 50 percent of doctors won't see new patients.""",0,1,0.5811377167701721,liar,100-200
you cant build a christian church in saudi arabia.,0,1,0.6180111765861511,liar,50-100
nearly 90% of travis county government races will be settled by the time of the democratic primary.,0,1,0.6257244944572449,liar,50-100
fox news uses photo of a married couple promoting traditional marriage and the photo is actually of a same-sex couple.,0,1,0.7237752079963684,liar,100-200
750 days since bill nelson the democrats in the senate passed a budget. how can this be justified?,0,1,0.578396737575531,liar,50-100
the state budget has actually grown by $4.6 billion under gov. scott walkers actions.,0,1,0.5444669723510742,liar,50-100
"when these [undocumented] students graduate from college, theyre still illegal aliens. they cannot get a job.",0,1,0.6036942601203918,liar,100-200
there was even a time when (donald trump) didnt get an emmy for his tv program three years in a row and he started tweeting that the emmys were rigged.,0,1,0.5080310702323914,liar,100-200
"says if congress doesnt avoid the sequester, tens of thousands of parents will have to scramble to find child care for their kids.",0,1,0.7285115122795105,liar,100-200
"the baucus health care bill would require taxes on medical devices such as x-ray machines, female condoms, hiv tests and surgical needles.",0,1,0.5566372275352478,liar,100-200
says david dewhurst explicitly advocated a guest worker program for all illegal immigrants.,0,1,0.5067999958992004,liar,50-100
the best evidence is that you lose -- if you use marijuana as a teenager regularly -- eight iq points.,0,1,0.5709967613220215,liar,100-200
the house zika bill limits access to birth control services needed to help curb the spread of the virus in puerto rico.,0,1,0.5603815317153931,liar,100-200
