text,true_label,predicted_label,prob_real,prob_fake,source_dataset,length_bin
says mitt romney put planned parenthood on a state medical board but failed to put a pro-life group on the same board.,0,1,0.4656096509017561,0.5343903490982439,liar,100-200
"says president barack obama gives students the right to repay (federal) loans as a clear, fixed, low percentage of their income for up to 20 years.",0,1,0.1925489177194699,0.8074510822805301,liar,100-200
"whether the amendment passes or not, the medical use of marijuana is a federal criminal offense.",0,1,0.4373193946550542,0.5626806053449458,liar,50-100
says david jollys former firm lobbied for hundreds of millions (of dollars) for a dictator in pakistan.,0,1,0.492928830809121,0.507071169190879,liar,100-200
jim renacci cheated on his income taxes and is a deadbeat citizen.,0,1,0.4565554155472056,0.5434445844527944,liar,50-100
says over 90 percent of travis countys eligible residents have registered to vote.,0,1,0.446969121335531,0.553030878664469,liar,50-100
"in 2010, 2,694 young people were killed by gunfire. 1,773 were victims of homicide; 67 were elementary school-age children.",0,1,0.4527578451374917,0.5472421548625083,liar,100-200
says bernie sanders was there when it came to (same-sex) marriage 20 years ago. ... he was there when it wasnt popular.,0,1,0.437589361870448,0.5624106381295519,liar,100-200
guantanamo detainees get taxpayer-paid-for prayer rugsthey had honey-glazed chicken and rice pilaf.,0,1,0.3530380706510836,0.6469619293489164,liar,50-100
"more than 250 (voter registration) groups, ranging across the entire political spectrum, have filed with the state and are registering voters right now.",0,1,0.3039801445425077,0.6960198554574922,liar,100-200
rhode island already gets more revenue per capita from gambling than any other state in the country.,0,1,0.4742691920150508,0.5257308079849492,liar,100-200
on federal stimulus money for expanding rail service.,0,1,0.3295322284632638,0.6704677715367362,liar,50-100
a gay man who survived #orlando hate crime can still show up to work in fl tomorrow and have his boss fire him simply because he is gay.,0,1,0.3547473349213629,0.6452526650786371,liar,100-200
"kim myers voted repeatedly to raise taxes on the people of broome county, but made millions off of tax savings when her family business relocated its headquarters.",0,1,0.4984950862490221,0.5015049137509778,liar,100-200
"top u.s. intelligence officials have toldevery member of congress, including the president, were about to be attacked in a serious way because (of) the threat emanating from syria and iraq.",0,1,0.3902739847128342,0.6097260152871657,liar,100-200
mccain opposes repeal of the death tax.,0,1,0.4841721639541771,0.5158278360458228,liar,0-50
"says milwaukee county spent over $170,000 in salaries in 2010 for employees to participate in union activities such as collective bargaining.",0,1,0.4871338398614616,0.5128661601385384,liar,100-200
says the obama administration has fulfilled all of texas requests for fire management assisting grants.,0,1,0.3731524235791298,0.6268475764208702,liar,100-200
"long-term federal investment in u.s. airports is urgent because there was a recent survey of the top airports in the world, and there was not a single u.s. airport that came in the top 25.",0,1,0.397281459192057,0.602718540807943,liar,100-200
"in april, sen. mccain came out against helping women earn equal pay for equal work.",0,1,0.356970406444812,0.643029593555188,liar,50-100
"obama ""won health care for 150,000 people.""",0,1,0.4566500197475117,0.5433499802524883,liar,0-50
