text,true_label,predicted_label,prob_fake,source_dataset,length_bin
says mitt romney put planned parenthood on a state medical board but failed to put a pro-life group on the same board.,0,1,0.5819438099861145,liar,100-200
"says president barack obama gives students the right to repay (federal) loans as a clear, fixed, low percentage of their income for up to 20 years.",0,1,0.622999906539917,liar,100-200
"whether the amendment passes or not, the medical use of marijuana is a federal criminal offense.",0,1,0.6112008094787598,liar,50-100
says david jollys former firm lobbied for hundreds of millions (of dollars) for a dictator in pakistan.,0,1,0.6139810085296631,liar,100-200
"says under the senate immigration bill, newly legalized immigrants will pay every tax possible, but you dont get a single benefit for 10 years.",0,1,0.5927248001098633,liar,100-200
"on u.s.-israeli relations, prime minister benjamin netanyahu set the record straight he said, our two countries have exactly the same policy (and) our security cooperation is unprecedented.",0,1,0.6162399649620056,liar,100-200
"on the day that (the republican) state leader resigned in disgrace, a shred-it' truck rolled up to republican headquarters.",0,1,0.5855590105056763,liar,100-200
says bernie sanders was there when it came to (same-sex) marriage 20 years ago. ... he was there when it wasnt popular.,0,1,0.5442908406257629,liar,100-200
"says mitt romney is wrong to claim that spending under obama has accelerated at a pace without precedent in recent history, because its actually risen slower than at any time in nearly 60 years.",0,1,0.51264488697052,liar,100-200
guantanamo detainees get taxpayer-paid-for prayer rugsthey had honey-glazed chicken and rice pilaf.,0,1,0.625984251499176,liar,50-100
on federal stimulus money for expanding rail service.,0,1,0.6179264187812805,liar,50-100
kelly ayotte has voted to defund planned parenthood six times.,0,1,0.5740422606468201,liar,50-100
a gay man who survived #orlando hate crime can still show up to work in fl tomorrow and have his boss fire him simply because he is gay.,0,1,0.6085121035575867,liar,100-200
"kim myers voted repeatedly to raise taxes on the people of broome county, but made millions off of tax savings when her family business relocated its headquarters.",0,1,0.6090084314346313,liar,100-200
"top u.s. intelligence officials have toldevery member of congress, including the president, were about to be attacked in a serious way because (of) the threat emanating from syria and iraq.",0,1,0.5307043194770813,liar,100-200
mccain opposes repeal of the death tax.,0,1,0.5806012153625488,liar,0-50
says republicans supported legislation on early voting and in-person voting in 2005.,0,1,0.5783842206001282,liar,50-100
says donald trump claimed our armed forces are a disaster.,0,1,0.5375069379806519,liar,50-100
"taxpayers pay $18,000 a month for house speaker nancy pelosis district office in downtown san francisco.",0,1,0.5462966561317444,liar,100-200
says the obama administration has fulfilled all of texas requests for fire management assisting grants.,0,1,0.5791409015655518,liar,100-200
