text,true_label,predicted_label,prob_fake,source_dataset,length_bin
were the worst state in the country at moving people from welfare to work.,1,0,0.3831686079502105,liar,50-100
we are experiencing the worst economic recovery america has ever had.,1,0,0.4309858381748199,liar,50-100
says new figures he released showing wisconsin job gains for 2011 are the final job numbers.,1,0,0.4466950893402099,liar,50-100
"small businesses that have $250,000 in gross sales for the business. theyre the ones that are looking at massive tax increases.",1,0,0.3994945287704468,liar,100-200
"says that in 2007, oregon ranked 25th -- or 7th from the bottom -- in percentage of children with untreated decay compared to 32 other states with similar data.",1,0,0.3337662816047668,liar,100-200
"at a minimum, 40 percent of those who view child pornography end up molesting children as a result.",1,0,0.3175891935825348,liar,50-100
the children coming across the southern u.s. border were never examined after they got here and quarantined if they had a disease. they were just sent out across the country. many of them had measles ... we now have an outbreak of it all because of our immigration policy.,1,0,0.4074923396110534,liar,200-500
"toledo is fourth in the nation behind much bigger cities miami, las vegas, portland in number of human trafficking arrests and rescues.",1,0,0.3048255741596222,liar,100-200
"says the clinton foundation accepted millions and millions of dollars from governments like algeria, saudi arabia, oman and the united arab emirates, which violated a ban on all contributions to the foundation from foreign nations.",1,0,0.4999469220638275,liar,200-500
already in wisconsin we have seen fewer people pursuing education as a career due to the act 10 collective bargaining law.,1,0,0.3405284285545349,liar,100-200
"the 48, 49 percent that supports president barack obama are people who pay no income tax.",1,0,0.453788548707962,liar,50-100
clackamas county commissioners approved a re-negotiated agreement to lower the countys contribution to trimets portland-milwaukie light rail project to $19.9 million from $25 million.,1,0,0.4744671285152435,liar,100-200
obamacare will drive 2.5 million americans out of the workforce.,1,0,0.4414793252944946,liar,50-100
"bob menendez just voted to increase the governments debt ceiling to $1.9 trillion! in his 19 years in congress, menendez has helped overspend america over $15 trillion into debt.",1,0,0.4549789130687713,liar,100-200
says oregon is one of only three states that allow the use of gillnets on inland waters.,1,0,0.3884462118148803,liar,50-100
virginia has made no progress on jobs since bob mcdonnell took office.,1,0,0.4130919575691223,liar,50-100
"in 2001 and 02 . . . we had the pension system funded at (the)100% level in that year, and we did for two years at that point.",1,0,0.308906227350235,liar,100-200
"a cashier earning $20,000 per year pays the same (virginia) income tax rate as a hedge fund manager earning $20 million per year.",1,0,0.274384468793869,liar,100-200
says new jersey has fewer jobs since gov. chris christie took office.,1,0,0.4018095433712005,liar,50-100
"says that according to a study, under obamas health care initiative, nearly 90 percent of people in wisconsin with health insurance will have their costs go up by more than 30 percent.",1,0,0.4832720756530761,liar,100-200
earth has not warmed for the last 17 years.,1,0,0.3885625004768371,liar,0-50
the fed created $15 trillion in the bailout process and $5 trillion went overseas.,1,0,0.4137255251407623,liar,50-100
oregon is the only state out of the 50 states in the usa that continues to pay 100% of the medical benefits for its employees and their families.,1,0,0.2723661065101623,liar,100-200
