text,true_label,predicted_label,prob_fake,source_dataset,length_bin
says mitt romney put planned parenthood on a state medical board but failed to put a pro-life group on the same board.,0,1,0.5549341440200806,liar,100-200
"says the new york giants train in new jersey, they play in new jersey and most of their players live in new jersey.",0,1,0.5332232713699341,liar,100-200
"says president barack obama gives students the right to repay (federal) loans as a clear, fixed, low percentage of their income for up to 20 years.",0,1,0.6085343956947327,liar,100-200
"whether the amendment passes or not, the medical use of marijuana is a federal criminal offense.",0,1,0.7038962841033936,liar,50-100
says david jollys former firm lobbied for hundreds of millions (of dollars) for a dictator in pakistan.,0,1,0.6357729434967041,liar,100-200
jim renacci cheated on his income taxes and is a deadbeat citizen.,0,1,0.6105287671089172,liar,50-100
"says under the senate immigration bill, newly legalized immigrants will pay every tax possible, but you dont get a single benefit for 10 years.",0,1,0.6878326535224915,liar,100-200
"on u.s.-israeli relations, prime minister benjamin netanyahu set the record straight he said, our two countries have exactly the same policy (and) our security cooperation is unprecedented.",0,1,0.5803647041320801,liar,100-200
"in 2010, 2,694 young people were killed by gunfire. 1,773 were victims of homicide; 67 were elementary school-age children.",0,1,0.6179400086402893,liar,100-200
"on the day that (the republican) state leader resigned in disgrace, a shred-it' truck rolled up to republican headquarters.",0,1,0.5962815284729004,liar,100-200
a tax on soda and juice drinks would disproportionately increase taxes on low-income families in philadelphia.,0,1,0.5528625845909119,liar,100-200
guantanamo detainees get taxpayer-paid-for prayer rugsthey had honey-glazed chicken and rice pilaf.,0,1,0.6960427165031433,liar,50-100
mitt romney said it was tragic to end the war in iraq.,0,1,0.5193495154380798,liar,50-100
on federal stimulus money for expanding rail service.,0,1,0.7844979166984558,liar,50-100
kelly ayotte has voted to defund planned parenthood six times.,0,1,0.5960871577262878,liar,50-100
a gay man who survived #orlando hate crime can still show up to work in fl tomorrow and have his boss fire him simply because he is gay.,0,1,0.6503311991691589,liar,100-200
the paris agreement is by far the largest number of countries ever to sign an international agreement on a single day.,0,1,0.5644572973251343,liar,100-200
"kim myers voted repeatedly to raise taxes on the people of broome county, but made millions off of tax savings when her family business relocated its headquarters.",0,1,0.6221981644630432,liar,100-200
"top u.s. intelligence officials have toldevery member of congress, including the president, were about to be attacked in a serious way because (of) the threat emanating from syria and iraq.",0,1,0.6438419818878174,liar,100-200
mccain opposes repeal of the death tax.,0,1,0.674014151096344,liar,0-50
says donald trump claimed our armed forces are a disaster.,0,1,0.5879849791526794,liar,50-100
"taxpayers pay $18,000 a month for house speaker nancy pelosis district office in downtown san francisco.",0,1,0.7282121777534485,liar,100-200
"says milwaukee county spent over $170,000 in salaries in 2010 for employees to participate in union activities such as collective bargaining.",0,1,0.5449551343917847,liar,100-200
says the obama administration has fulfilled all of texas requests for fire management assisting grants.,0,1,0.6322763562202454,liar,100-200
