text,true_label,predicted_label,prob_fake,source_dataset,length_bin
"says that in 2007, oregon ranked 25th -- or 7th from the bottom -- in percentage of children with untreated decay compared to 32 other states with similar data.",1,0,0.3694035410881042,liar,100-200
"at a minimum, 40 percent of those who view child pornography end up molesting children as a result.",1,0,0.4890093207359314,liar,50-100
"because gov. chris christie vetoed a 30-bill job creation package, new jersey ranks 50th in the nation in job creation.",1,0,0.4096044898033142,liar,100-200
"toledo is fourth in the nation behind much bigger cities miami, las vegas, portland in number of human trafficking arrests and rescues.",1,0,0.4659858345985412,liar,100-200
already in wisconsin we have seen fewer people pursuing education as a career due to the act 10 collective bargaining law.,1,0,0.4610384106636047,liar,100-200
the 2010 dream act failed despite strong bipartisan support.,1,0,0.4147505760192871,liar,50-100
roy blunt voted to raise his own pay 12 times while in congress.,1,0,0.4255485832691192,liar,50-100
"in 2001 and 02 . . . we had the pension system funded at (the)100% level in that year, and we did for two years at that point.",1,0,0.4848441481590271,liar,100-200
"a cashier earning $20,000 per year pays the same (virginia) income tax rate as a hedge fund manager earning $20 million per year.",1,0,0.2927937805652618,liar,100-200
says jeb bush extended early voting after seeing long lines.,1,0,0.4021722078323364,liar,50-100
says new jersey has fewer jobs since gov. chris christie took office.,1,0,0.4278003573417663,liar,50-100
"for my energy plan, my economic plan, and the other proposals you'll hear tonight, i've offered spending cuts above and beyond their cost.",1,0,0.4784160852432251,liar,100-200
earth has not warmed for the last 17 years.,1,0,0.3897213041782379,liar,0-50
the five guantanamo detainees swapped for bowe bergdahl are right now back on the battlefield.,1,0,0.4804304838180542,liar,50-100
says george lemieux even compared marco rubio to barack obama.,1,0,0.4710497856140136,liar,50-100
"says that in 41 states, government workers are better paid than the taxpayers who support them.",1,0,0.4619811177253723,liar,50-100
every major newspaper in texas calls david dewhurst a moderate.,1,0,0.4931741654872894,liar,50-100
says she has quadrupled agents to secure our border.,1,0,0.4835558831691742,liar,50-100
"there are more atheists in the country right now than jews, muslims, hindus and buddhists combined and doubled.",1,0,0.3972752094268799,liar,100-200
"you cant get on an airplane, but more than 2,000 people on that list have been able to buy a gun.",1,0,0.4921581149101257,liar,50-100
we spend half a trillion dollars a year in tax preparation.,1,0,0.2778122723102569,liar,50-100
"today in america, between 40 and 50 percent of all african-american babies, virtually 1-in-2, are killed before they are born.",1,0,0.3185318410396576,liar,100-200
some city of atlanta employees have not had raises in eight years.,1,0,0.4871750473976135,liar,50-100
people who wash cars at home will use approximately 80 percent more water than they do in a car wash.,1,0,0.4633610248565674,liar,100-200
says he won the second debate with hillary clinton in a landslide in every poll.,1,0,0.4693583548069,liar,50-100
"a muslim immigrant in michigan can list his second, third or fourth wives as extended family and qualify for welfare.",1,0,0.4201712608337402,liar,100-200
glen sturtevant is against smaller class sizes.,1,0,0.4178499281406402,liar,0-50
this is the first time in the history that weve had the raising of a debt limit also with spending cuts.,1,0,0.461577832698822,liar,100-200
californias prop 55 prevents $4 billion in new cuts to our schools.,1,0,0.4236759543418884,liar,50-100
slim jims just recently cost 99 cents but now cost $2.69.,1,0,0.3548455834388733,liar,50-100
